DATE;MONTH;DAY;MIDDLE_WEEK
01/01/2020;1;1;04/01/2020
02/01/2020;1;2;04/01/2020
03/01/2020;1;3;04/01/2020
04/01/2020;1;4;04/01/2020
05/01/2020;1;5;04/01/2020
06/01/2020;1;6;04/01/2020
07/01/2020;1;7;04/01/2020
08/01/2020;1;8;11/01/2020
09/01/2020;1;9;11/01/2020
10/01/2020;1;10;11/01/2020
11/01/2020;1;11;11/01/2020
12/01/2020;1;12;11/01/2020
13/01/2020;1;13;11/01/2020
14/01/2020;1;14;11/01/2020
15/01/2020;1;15;18/01/2020
16/01/2020;1;16;18/01/2020
17/01/2020;1;17;18/01/2020
18/01/2020;1;18;18/01/2020
19/01/2020;1;19;18/01/2020
20/01/2020;1;20;18/01/2020
21/01/2020;1;21;18/01/2020
22/01/2020;1;22;25/01/2020
23/01/2020;1;23;25/01/2020
24/01/2020;1;24;25/01/2020
25/01/2020;1;25;25/01/2020
26/01/2020;1;26;25/01/2020
27/01/2020;1;27;25/01/2020
28/01/2020;1;28;25/01/2020
29/01/2020;1;29;01/02/2020
30/01/2020;1;30;01/02/2020
31/01/2020;1;31;01/02/2020
01/02/2020;2;1;01/02/2020
02/02/2020;2;2;01/02/2020
03/02/2020;2;3;01/02/2020
04/02/2020;2;4;01/02/2020
05/02/2020;2;5;08/02/2020
06/02/2020;2;6;08/02/2020
07/02/2020;2;7;08/02/2020
08/02/2020;2;8;08/02/2020
09/02/2020;2;9;08/02/2020
10/02/2020;2;10;08/02/2020
11/02/2020;2;11;08/02/2020
12/02/2020;2;12;15/02/2020
13/02/2020;2;13;15/02/2020
14/02/2020;2;14;15/02/2020
15/02/2020;2;15;15/02/2020
16/02/2020;2;16;15/02/2020
17/02/2020;2;17;15/02/2020
18/02/2020;2;18;15/02/2020
19/02/2020;2;19;22/02/2020
20/02/2020;2;20;22/02/2020
21/02/2020;2;21;22/02/2020
22/02/2020;2;22;22/02/2020
23/02/2020;2;23;22/02/2020
24/02/2020;2;24;22/02/2020
25/02/2020;2;25;22/02/2020
26/02/2020;2;26;29/02/2020
27/02/2020;2;27;29/02/2020
28/02/2020;2;28;29/02/2020
29/02/2020;2;29;29/02/2020
01/03/2020;3;1;29/02/2020
02/03/2020;3;2;29/02/2020
03/03/2020;3;3;29/02/2020
04/03/2020;3;4;07/03/2020
05/03/2020;3;5;07/03/2020
06/03/2020;3;6;07/03/2020
07/03/2020;3;7;07/03/2020
08/03/2020;3;8;07/03/2020
09/03/2020;3;9;07/03/2020
10/03/2020;3;10;07/03/2020
11/03/2020;3;11;14/03/2020
12/03/2020;3;12;14/03/2020
13/03/2020;3;13;14/03/2020
14/03/2020;3;14;14/03/2020
15/03/2020;3;15;14/03/2020
16/03/2020;3;16;14/03/2020
17/03/2020;3;17;14/03/2020
18/03/2020;3;18;21/03/2020
19/03/2020;3;19;21/03/2020
20/03/2020;3;20;21/03/2020
21/03/2020;3;21;21/03/2020
22/03/2020;3;22;21/03/2020
23/03/2020;3;23;21/03/2020
24/03/2020;3;24;21/03/2020
25/03/2020;3;25;28/03/2020
26/03/2020;3;26;28/03/2020
27/03/2020;3;27;28/03/2020
28/03/2020;3;28;28/03/2020
29/03/2020;3;29;28/03/2020
30/03/2020;3;30;28/03/2020
31/03/2020;3;31;28/03/2020
01/04/2020;4;1;04/04/2020
02/04/2020;4;2;04/04/2020
03/04/2020;4;3;04/04/2020
04/04/2020;4;4;04/04/2020
05/04/2020;4;5;04/04/2020
06/04/2020;4;6;04/04/2020
07/04/2020;4;7;04/04/2020
08/04/2020;4;8;11/04/2020
09/04/2020;4;9;11/04/2020
10/04/2020;4;10;11/04/2020
11/04/2020;4;11;11/04/2020
12/04/2020;4;12;11/04/2020
13/04/2020;4;13;11/04/2020
14/04/2020;4;14;11/04/2020
15/04/2020;4;15;18/04/2020
16/04/2020;4;16;18/04/2020
17/04/2020;4;17;18/04/2020
18/04/2020;4;18;18/04/2020
19/04/2020;4;19;18/04/2020
20/04/2020;4;20;18/04/2020
21/04/2020;4;21;18/04/2020
22/04/2020;4;22;25/04/2020
23/04/2020;4;23;25/04/2020
24/04/2020;4;24;25/04/2020
25/04/2020;4;25;25/04/2020
26/04/2020;4;26;25/04/2020
27/04/2020;4;27;25/04/2020
28/04/2020;4;28;25/04/2020
29/04/2020;4;29;02/05/2020
30/04/2020;4;30;02/05/2020
01/05/2020;5;1;02/05/2020
02/05/2020;5;2;02/05/2020
03/05/2020;5;3;02/05/2020
04/05/2020;5;4;02/05/2020
05/05/2020;5;5;02/05/2020
06/05/2020;5;6;09/05/2020
07/05/2020;5;7;09/05/2020
08/05/2020;5;8;09/05/2020
09/05/2020;5;9;09/05/2020
10/05/2020;5;10;09/05/2020
11/05/2020;5;11;09/05/2020
12/05/2020;5;12;09/05/2020
13/05/2020;5;13;16/05/2020
14/05/2020;5;14;16/05/2020
15/05/2020;5;15;16/05/2020
16/05/2020;5;16;16/05/2020
17/05/2020;5;17;16/05/2020
18/05/2020;5;18;16/05/2020
19/05/2020;5;19;16/05/2020
20/05/2020;5;20;23/05/2020
21/05/2020;5;21;23/05/2020
22/05/2020;5;22;23/05/2020
23/05/2020;5;23;23/05/2020
24/05/2020;5;24;23/05/2020
25/05/2020;5;25;23/05/2020
26/05/2020;5;26;23/05/2020
27/05/2020;5;27;30/05/2020
28/05/2020;5;28;30/05/2020
29/05/2020;5;29;30/05/2020
30/05/2020;5;30;30/05/2020
31/05/2020;5;31;30/05/2020
01/06/2020;6;1;30/05/2020
02/06/2020;6;2;30/05/2020
03/06/2020;6;3;06/06/2020
04/06/2020;6;4;06/06/2020
05/06/2020;6;5;06/06/2020
06/06/2020;6;6;06/06/2020
07/06/2020;6;7;06/06/2020
08/06/2020;6;8;06/06/2020
09/06/2020;6;9;06/06/2020
10/06/2020;6;10;13/06/2020
11/06/2020;6;11;13/06/2020
12/06/2020;6;12;13/06/2020
13/06/2020;6;13;13/06/2020
14/06/2020;6;14;13/06/2020
15/06/2020;6;15;13/06/2020
16/06/2020;6;16;13/06/2020
17/06/2020;6;17;20/06/2020
18/06/2020;6;18;20/06/2020
19/06/2020;6;19;20/06/2020
20/06/2020;6;20;20/06/2020
21/06/2020;6;21;20/06/2020
22/06/2020;6;22;20/06/2020
23/06/2020;6;23;20/06/2020
24/06/2020;6;24;27/06/2020
25/06/2020;6;25;27/06/2020
26/06/2020;6;26;27/06/2020
27/06/2020;6;27;27/06/2020
28/06/2020;6;28;27/06/2020
29/06/2020;6;29;27/06/2020
30/06/2020;6;30;27/06/2020
01/07/2020;7;1;04/07/2020
02/07/2020;7;2;04/07/2020
03/07/2020;7;3;04/07/2020
04/07/2020;7;4;04/07/2020
05/07/2020;7;5;04/07/2020
06/07/2020;7;6;04/07/2020
07/07/2020;7;7;04/07/2020
08/07/2020;7;8;11/07/2020
09/07/2020;7;9;11/07/2020
10/07/2020;7;10;11/07/2020
11/07/2020;7;11;11/07/2020
12/07/2020;7;12;11/07/2020
13/07/2020;7;13;11/07/2020
14/07/2020;7;14;11/07/2020
15/07/2020;7;15;18/07/2020
16/07/2020;7;16;18/07/2020
17/07/2020;7;17;18/07/2020
18/07/2020;7;18;18/07/2020
19/07/2020;7;19;18/07/2020
20/07/2020;7;20;18/07/2020
21/07/2020;7;21;18/07/2020
22/07/2020;7;22;25/07/2020
23/07/2020;7;23;25/07/2020
24/07/2020;7;24;25/07/2020
25/07/2020;7;25;25/07/2020
26/07/2020;7;26;25/07/2020
27/07/2020;7;27;25/07/2020
28/07/2020;7;28;25/07/2020
29/07/2020;7;29;01/08/2020
30/07/2020;7;30;01/08/2020
31/07/2020;7;31;01/08/2020
01/08/2020;8;1;01/08/2020
02/08/2020;8;2;01/08/2020
03/08/2020;8;3;01/08/2020
04/08/2020;8;4;01/08/2020
05/08/2020;8;5;08/08/2020
06/08/2020;8;6;08/08/2020
07/08/2020;8;7;08/08/2020
08/08/2020;8;8;08/08/2020
09/08/2020;8;9;08/08/2020
10/08/2020;8;10;08/08/2020
11/08/2020;8;11;08/08/2020
12/08/2020;8;12;15/08/2020
13/08/2020;8;13;15/08/2020
14/08/2020;8;14;15/08/2020
15/08/2020;8;15;15/08/2020
16/08/2020;8;16;15/08/2020
17/08/2020;8;17;15/08/2020
18/08/2020;8;18;15/08/2020
19/08/2020;8;19;22/08/2020
20/08/2020;8;20;22/08/2020
21/08/2020;8;21;22/08/2020
22/08/2020;8;22;22/08/2020
23/08/2020;8;23;22/08/2020
24/08/2020;8;24;22/08/2020
25/08/2020;8;25;22/08/2020
26/08/2020;8;26;29/08/2020
27/08/2020;8;27;29/08/2020
28/08/2020;8;28;29/08/2020
29/08/2020;8;29;29/08/2020
30/08/2020;8;30;29/08/2020
31/08/2020;8;31;29/08/2020
01/09/2020;9;1;29/08/2020
02/09/2020;9;2;05/09/2020
03/09/2020;9;3;05/09/2020
04/09/2020;9;4;05/09/2020
05/09/2020;9;5;05/09/2020
06/09/2020;9;6;05/09/2020
07/09/2020;9;7;05/09/2020
08/09/2020;9;8;05/09/2020
09/09/2020;9;9;12/09/2020
10/09/2020;9;10;12/09/2020
11/09/2020;9;11;12/09/2020
12/09/2020;9;12;12/09/2020
13/09/2020;9;13;12/09/2020
14/09/2020;9;14;12/09/2020
15/09/2020;9;15;12/09/2020
16/09/2020;9;16;19/09/2020
17/09/2020;9;17;19/09/2020
18/09/2020;9;18;19/09/2020
19/09/2020;9;19;19/09/2020
20/09/2020;9;20;19/09/2020
21/09/2020;9;21;19/09/2020
22/09/2020;9;22;19/09/2020
23/09/2020;9;23;26/09/2020
24/09/2020;9;24;26/09/2020
25/09/2020;9;25;26/09/2020
26/09/2020;9;26;26/09/2020
27/09/2020;9;27;26/09/2020
28/09/2020;9;28;26/09/2020
29/09/2020;9;29;26/09/2020
30/09/2020;9;30;03/10/2020
01/10/2020;10;1;03/10/2020
02/10/2020;10;2;03/10/2020
03/10/2020;10;3;03/10/2020
04/10/2020;10;4;03/10/2020
05/10/2020;10;5;03/10/2020
06/10/2020;10;6;03/10/2020
07/10/2020;10;7;10/10/2020
08/10/2020;10;8;10/10/2020
09/10/2020;10;9;10/10/2020
10/10/2020;10;10;10/10/2020
11/10/2020;10;11;10/10/2020
12/10/2020;10;12;10/10/2020
13/10/2020;10;13;10/10/2020
14/10/2020;10;14;17/10/2020
15/10/2020;10;15;17/10/2020
16/10/2020;10;16;17/10/2020
17/10/2020;10;17;17/10/2020
18/10/2020;10;18;17/10/2020
19/10/2020;10;19;17/10/2020
20/10/2020;10;20;17/10/2020
21/10/2020;10;21;24/10/2020
22/10/2020;10;22;24/10/2020
23/10/2020;10;23;24/10/2020
24/10/2020;10;24;24/10/2020
25/10/2020;10;25;24/10/2020
26/10/2020;10;26;24/10/2020
27/10/2020;10;27;24/10/2020
28/10/2020;10;28;31/10/2020
29/10/2020;10;29;31/10/2020
30/10/2020;10;30;31/10/2020
31/10/2020;10;31;31/10/2020
01/11/2020;11;1;31/10/2020
02/11/2020;11;2;31/10/2020
03/11/2020;11;3;31/10/2020
04/11/2020;11;4;07/11/2020
05/11/2020;11;5;07/11/2020
06/11/2020;11;6;07/11/2020
07/11/2020;11;7;07/11/2020
08/11/2020;11;8;07/11/2020
09/11/2020;11;9;07/11/2020
10/11/2020;11;10;07/11/2020
11/11/2020;11;11;14/11/2020
12/11/2020;11;12;14/11/2020
13/11/2020;11;13;14/11/2020
14/11/2020;11;14;14/11/2020
15/11/2020;11;15;14/11/2020
16/11/2020;11;16;14/11/2020
17/11/2020;11;17;14/11/2020
18/11/2020;11;18;21/11/2020
19/11/2020;11;19;21/11/2020
20/11/2020;11;20;21/11/2020
21/11/2020;11;21;21/11/2020
22/11/2020;11;22;21/11/2020
23/11/2020;11;23;21/11/2020
24/11/2020;11;24;21/11/2020
25/11/2020;11;25;28/11/2020
26/11/2020;11;26;28/11/2020
27/11/2020;11;27;28/11/2020
28/11/2020;11;28;28/11/2020
29/11/2020;11;29;28/11/2020
30/11/2020;11;30;28/11/2020
01/12/2020;12;1;28/11/2020
02/12/2020;12;2;05/12/2020
03/12/2020;12;3;05/12/2020
04/12/2020;12;4;05/12/2020
05/12/2020;12;5;05/12/2020
06/12/2020;12;6;05/12/2020
07/12/2020;12;7;05/12/2020
08/12/2020;12;8;05/12/2020
09/12/2020;12;9;12/12/2020
10/12/2020;12;10;12/12/2020
11/12/2020;12;11;12/12/2020
12/12/2020;12;12;12/12/2020
13/12/2020;12;13;12/12/2020
14/12/2020;12;14;12/12/2020
15/12/2020;12;15;12/12/2020
16/12/2020;12;16;19/12/2020
17/12/2020;12;17;19/12/2020
18/12/2020;12;18;19/12/2020
19/12/2020;12;19;19/12/2020
20/12/2020;12;20;19/12/2020
21/12/2020;12;21;19/12/2020
22/12/2020;12;22;19/12/2020
23/12/2020;12;23;26/12/2020
24/12/2020;12;24;26/12/2020
25/12/2020;12;25;26/12/2020
26/12/2020;12;26;26/12/2020
27/12/2020;12;27;26/12/2020
28/12/2020;12;28;26/12/2020
29/12/2020;12;29;26/12/2020
30/12/2020;12;30;30/12/2020
31/12/2020;12;31;30/12/2020
